dataset,augmentation_type,augmentation_rate,local_homophily_group,positive_failure_score,negative_collision_score,joint_reliability_risk_score
Citeseer,edge_drop,0.1,low_homophily,0.012928828,0.22717467,0.51567656
Citeseer,edge_drop,0.1,medium_homophily,0.015890698,0.32110294,0.71196051
Citeseer,edge_drop,0.1,high_homophily,0.0082004893,0.39641992,0.79786926
Citeseer,edge_drop,0.1,all,0.0097785982,0.35277203,0.72763989
Citeseer,edge_drop,0.2,low_homophily,0.026784684,0.22717467,0.61408045
Citeseer,edge_drop,0.2,medium_homophily,0.031399348,0.32110294,0.8221025
Citeseer,edge_drop,0.2,high_homophily,0.017502419,0.39641992,0.8639313
Citeseer,edge_drop,0.2,all,0.020256347,0.35277203,0.80205256
Citeseer,edge_drop,0.4,low_homophily,0.053480508,0.22717467,0.80367343
Citeseer,edge_drop,0.4,medium_homophily,0.064563309,0.32110294,1.057632
Citeseer,edge_drop,0.4,high_homophily,0.039934438,0.39641992,1.0232429
Citeseer,edge_drop,0.4,all,0.044512924,0.35277203,0.97432207
Citeseer,edge_drop,0.6,low_homophily,0.085162174,0.22717467,1.0286757
Citeseer,edge_drop,0.6,medium_homophily,0.1003241,0.32110294,1.3116041
Citeseer,edge_drop,0.6,high_homophily,0.067389767,0.39641992,1.2182298
Citeseer,edge_drop,0.6,all,0.07331856,0.35277203,1.1788989
Citeseer,edge_drop,0.8,low_homophily,0.1263025,0.22717467,1.3208531
Citeseer,edge_drop,0.8,medium_homophily,0.14080598,0.32110294,1.5991052
Citeseer,edge_drop,0.8,high_homophily,0.10693543,0.39641992,1.499082
Citeseer,edge_drop,0.8,all,0.11244338,0.35277203,1.4567622
PubMed,edge_drop,0.1,low_homophily,0.013085654,0.41558199,0.86831563
PubMed,edge_drop,0.1,medium_homophily,0.011392033,0.45145977,0.92322739
PubMed,edge_drop,0.1,high_homophily,0.0085047112,0.53597085,1.0604002
PubMed,edge_drop,0.1,all,0.0093625415,0.51205238,1.0218661
PubMed,edge_drop,0.2,low_homophily,0.026667979,0.41558199,0.96477691
