dataset,source,augmentation_type,augmentation_rate,trial,local_homophily_group,num_nodes_in_group,retained_same_class_edges,retained_cross_class_edges,dropped_same_class_edges,dropped_cross_class_edges,same_class_edge_retention_rate,cross_class_edge_retention_rate,neighbor_label_distribution_js_divergence,neighbor_label_distribution_js_divergence_std,neighbor_label_distribution_l1_distance,local_homophily_change,positive_pair_cosine_similarity,positive_pair_rank,positive_pair_similarity_drop,low_reliability_positive_ratio,positive_nodes_evaluated,embedding_source,labels_posthoc_only
Cora,pyg,edge_drop,0.1,0,low_homophily,223,3854,903,421,100,0.90152047,0.9002991,0.029216943,0.10133165,0.099029413,0.0013697186,1,1.2732919,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,0,medium_homophily,321,3854,903,421,100,0.90152047,0.9002991,0.043030053,0.099856252,0.17874786,0.010560224,1,1.3553719,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,0,high_homophily,2164,3854,903,421,100,0.90152047,0.9002991,0.011484271,0.068655283,0.033140655,0.00058502983,1,1.30933,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,0,all,2708,3854,903,421,100,0.90152047,0.9002991,0.016683895,0.076883128,0.05582644,0.0018450222,1,1.312,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,0,low_homophily,223,3414,800,861,203,0.79859649,0.79760718,0.069838743,0.14784825,0.21183833,-0.0043093801,1,1.2732919,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,0,medium_homophily,321,3414,800,861,203,0.79859649,0.79760718,0.063823881,0.1244693,0.24060707,0.0045099856,1,1.3553719,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,0,high_homophily,2164,3414,800,861,203,0.79859649,0.79760718,0.031490472,0.11215572,0.083674636,0.0018875018,1,1.30933,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,0,all,2708,3414,800,861,203,0.79859649,0.79760718,0.038481125,0.11783318,0.11283114,0.0017103598,1,1.312,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,0,low_homophily,223,2542,641,1733,362,0.59461988,0.63908275,0.12934867,0.18514236,0.36752924,-0.011495047,1,1.2732919,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,0,medium_homophily,321,2542,641,1733,362,0.59461988,0.63908275,0.15287301,0.17367434,0.50990344,-0.024441455,1,1.3553719,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,0,high_homophily,2164,2542,641,1733,362,0.59461988,0.63908275,0.07649914,0.17039481,0.18470683,-0.0011889963,1,1.30933,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,0,all,2708,2542,641,1733,362,0.59461988,0.63908275,0.089904406,0.17418857,0.23831005,-0.0049872789,1,1.312,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,0,low_homophily,223,1782,426,2493,577,0.41684211,0.42472582,0.21945879,0.21564739,0.55637735,0.0016620751,1,1.2732919,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,0,medium_homophily,321,1782,426,2493,577,0.41684211,0.42472582,0.26134254,0.18258404,0.75720543,-0.01752752,1,1.3553719,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,0,high_homophily,2164,1782,426,2493,577,0.41684211,0.42472582,0.14512356,0.21709256,0.32946114,-0.0048269881,1,1.30933,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,0,all,2708,1782,426,2493,577,0.41684211,0.42472582,0.16502129,0.21703218,0.39885118,-0.0059317273,1,1.312,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,0,low_homophily,223,851,195,3424,808,0.19906433,0.19441675,0.35146289,0.20518537,0.8075679,-0.026889462,1,1.2732919,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,0,medium_homophily,321,851,195,3424,808,0.19906433,0.19441675,0.39794313,0.14459852,0.96484401,0.0046143751,1,1.3553719,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,0,high_homophily,2164,851,195,3424,808,0.19906433,0.19441675,0.27704209,0.24164456,0.58389455,-0.0052069585,1,1.30933,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,0,all,2708,851,195,3424,808,0.19906433,0.19441675,0.29750186,0.23318986,0.6474706,-0.0057736613,1,1.312,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,1,low_homophily,223,3878,906,397,97,0.9071345,0.90329013,0.024756637,0.087445886,0.085446886,0.0023244935,1,1.3136095,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,1,medium_homophily,321,3878,906,397,97,0.9071345,0.90329013,0.036572618,0.094830835,0.14420111,-0.0036203319,1,1.3514644,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,1,high_homophily,2164,3878,906,397,97,0.9071345,0.90329013,0.012857986,0.072093408,0.035973029,0.0016311184,1,1.3109296,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,1,all,2708,3878,906,397,97,0.9071345,0.90329013,0.0166489,0.076896101,0.052876236,0.0010584253,1,1.316,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,1,low_homophily,223,3414,790,861,213,0.79859649,0.78763709,0.064789056,0.13872435,0.20697533,-0.0037152856,1,1.3136095,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,1,medium_homophily,321,3414,790,861,213,0.79859649,0.78763709,0.081348582,0.13276888,0.30976425,-0.026492347,1,1.3514644,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,1,high_homophily,2164,3414,790,861,213,0.79859649,0.78763709,0.026535901,0.10221314,0.07329403,0.0018289623,1,1.3109296,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,1,all,2708,3414,790,861,213,0.79859649,0.78763709,0.036183362,0.11138497,0.11233313,-0.00205585,1,1.316,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,1,low_homophily,223,2573,635,1702,368,0.60187135,0.6331007,0.11704829,0.17411534,0.3390076,-0.0071157178,1,1.3136095,-0.92566425,0,223,raw_feature_proxy,True
